,waveform,rms_delta_1000ms,rms_theta_1000ms,rms_alpha_200ms,rms_alpha_1000ms,rms_beta_200ms,rms_beta_1000ms,rms_gamma_40ms,rms_gamma_200ms,rms_gamma_1000ms,psd_1-2Hz,psd_2-4Hz,psd_4-8Hz,psd_8-13Hz,psd_13-20Hz,psd_20-30Hz,psd_30-50Hz,psd_50-100Hz,psd_slope
ae_anatomy_48|0,-0.10748071752913432,-0.12615009675946742,-0.12602150314038807,-0.1390478901389885,-0.18382755549492583,-0.1949965036107422,-0.20702034795546126,-0.22289094230705722,-0.2336909212674847,-0.23323471512797694,-0.11267659146532345,-0.1275953252907251,-0.1417505827903434,-0.15515179614141333,-0.1651933983562666,-0.1798287814905185,-0.19127861936368118,-0.17381340964988912,0.023772044985469813
ae_anatomy_48|1,-0.23158729135596623,0.20919280026101678,0.23200356438278832,0.2360563217575209,0.2341501138835558,0.22415465798500153,0.20243752047289615,0.1525104840798409,0.12251763021993277,0.09080389815030586,-0.05959917940422022,-0.05512035534265831,-0.06989629085261989,-0.06993255108628157,-0.0807989754619211,-0.08222034282986378,-0.08204903814501707,-0.08380511485665078,0.007677149984899108
ae_depth_48|0,-0.5164982454997821,0.1892014111428186,0.19620380574450105,0.2010227559862357,0.19817988365690842,0.195722126270851,0.17785058712004878,0.15104565651494217,0.13679448390534354,0.11275496317879594,0.07538764193501385,0.0914367506198023,0.10081776428603514,0.11040423375743057,0.11612892474937776,0.12713203413930566,0.13367501182102826,0.12860126535504945,-0.009388327034548217
ae_depth_48|1,0.23614960334626336,0.28136729395959886,0.31044870519165246,0.33224889622290343,0.32876380072847367,0.3117939180788274,0.27395905079406263,0.19046136297147523,0.13777336538276863,0.08634309217109903,-0.10992937896216814,-0.1342330130782756,-0.1765089021870381,-0.175593690758953,-0.1915460026272176,-0.19230621835046796,-0.19263548035167966,-0.1891582816446126,0.018569293552324857
ae_filterbank_48|0,0.05785448698047719,-0.14229939343997444,-0.12421812528904357,-0.11052308882035991,-0.10333043387641377,-0.1007978411286885,-0.11008391015621768,-0.12132843265371798,-0.13484399522821663,-0.13996490824470384,-0.4055186693784929,-0.4565600963421829,-0.477356597396733,-0.4969465474869713,-0.5103135099590196,-0.5264896127951295,-0.5296233324609693,-0.48860854723135694,0.1390319298576711
ae_filterbank_48|1,0.5028634066523203,-0.05260800757346461,-0.05582709922460188,-0.04261053541167092,-0.0424519539239114,-0.03772119489036316,-0.04130976309245458,-0.04862439569756374,-0.05318519321133586,-0.06083690964936033,-0.21564060913502467,-0.24597479884288165,-0.25483596156234883,-0.2634598984546769,-0.2742125008951133,-0.280428979421317,-0.27647160661079,-0.26263245967405624,0.07059042199834349
ae_masked_48|0,0.37684680554931904,-0.00894494728832957,-0.02274543557695335,-0.02708049886087925,-0.08859245600076075,-0.10031181118107853,-0.12104960601859618,-0.1562139443995569,-0.17318770516343004,-0.1784326374880272,-0.14094418225711364,-0.16468715829889316,-0.19074700686130044,-0.19484132316251543,-0.20299037403106987,-0.20947510897981536,-0.21776321829641188,-0.20992475881939676,0.03646956988628664
ae_masked_48|1,-0.07653604721853682,-0.3372313737349471,-0.3187438851113834,-0.30521729961851735,-0.30938881882695807,-0.30946945584744134,-0.29420699913980897,-0.253241949725086,-0.24009681446563483,-0.23535152349222468,-0.2160166357222004,-0.2520877287018572,-0.25613707702981764,-0.27577509043658477,-0.27726476261057476,-0.28947050401736607,-0.2970104099661427,-0.2740583557190772,0.07797562238349824
ae_waveamp_48|0,1.0,-0.0044060209988658365,-0.004211733258973966,-0.0030853305278509126,-0.0030998411835097923,-0.0032705068183045654,-0.0028430810611325043,-0.004615926954809589,-0.004865058123150296,-0.005256798279176902,-0.010819551699938484,-0.013982311563937002,-0.011018420963035114,-0.010257521299509426,-0.01125841732801293,-0.008735073676630602,-0.01065813559347777,-0.014202567892628437,0.011041114336373137
ae_waveamp_48|1,-0.011109787417076512,0.017845936819470238,-0.026303635649070598,-0.06241541213877746,-0.12232447580422594,-0.14054830810529675,-0.1221458232513341,-0.14174070516917225,-0.12122992470643096,-0.07962848213193802,0.2853511374638264,0.347995241660923,0.37587984266700114,0.38239075931086247,0.3807181001599787,0.37826101896092146,0.38300295578071186,0.36850726288790575,-0.15662812716900817
group_pca_2x24|0,-0.01431022635690146,0.41976002222407416,0.41642240886955734,0.41130460339328034,0.44709609170967474,0.45177421807957147,0.4415049356056502,0.45033244556126945,0.4403912395526279,0.42880610830506904,0.5773671622503983,0.6842591902999922,0.7354630354578349,0.7384588537622672,0.7361163546929277,0.7347938645017956,0.7405135721169137,0.7100825305178117,-0.29629467414658567
group_pca_2x24|1,0.0002208349362194295,-0.2461318170625144,-0.2910021790981654,-0.32970064729989956,-0.40674593115913893,-0.4130342823341098,-0.40124136511715547,-0.3440949886225455,-0.3008016201300343,-0.23358886332540688,0.057797783001785084,0.03557618144301488,0.025164765282783764,-0.0010668713952731057,0.007429472183080599,0.0055258136448196596,0.011499774061964953,0.02500534257767291,-0.024097459267466193
group_pca_pooled_48|0,-0.01399508320095303,0.5242148590072753,0.5415848656179102,0.5565717173783825,0.6191862245978441,0.6235308271076397,0.610390200571848,0.5941678701359635,0.5636276038847867,0.5322324374703991,0.5537803120718684,0.6605820592059024,0.7061516049451069,0.7191520667912396,0.7130345149407542,0.7122113313461889,0.7131105288746393,0.6804940510432935,-0.290283814775554
