a,b,metric,median_diff,sessions_higher,n_sessions,n_insertions,wilcoxon_p
waveform_pca_16,waveform_pca_48,beh_r_mean,-0.017022463849683145,2,26,50,2.086162567138672e-06
waveform_pca_16,waveform_pca_48,r2_wave,-0.015684425428272086,0,26,50,2.9802322387695312e-08
waveform_pca_16,waveform_pca_48,r2_amp_spatial,0.003183320835341751,20,26,50,0.006130725145339966
waveform_pca_16,waveform_pca_48,r2_env_gamma,0.0003205577742492506,11,26,50,0.4677756428718567
group_pca_pooled_48,waveform_pca_48,beh_r_mean,0.23577592012560075,25,26,50,8.940696716308594e-08
group_pca_pooled_48,waveform_pca_48,r2_wave,-0.9038617021864179,0,26,50,2.9802322387695312e-08
group_pca_pooled_48,waveform_pca_48,r2_amp_spatial,0.46825665271709976,26,26,50,2.9802322387695312e-08
group_pca_pooled_48,waveform_pca_48,r2_env_gamma,0.44199632457040905,26,26,50,2.9802322387695312e-08
group_pca_weighted_48,waveform_pca_48,beh_r_mean,0.24025390826855889,25,26,50,5.960464477539063e-08
group_pca_weighted_48,waveform_pca_48,r2_wave,-0.02276656173419561,0,26,50,2.9802322387695312e-08
group_pca_weighted_48,waveform_pca_48,r2_amp_spatial,0.36111490526406603,26,26,50,2.9802322387695312e-08
group_pca_weighted_48,waveform_pca_48,r2_env_gamma,0.362673799451543,26,26,50,2.9802322387695312e-08
group_wave+amp1,waveform_pca_48,beh_r_mean,0.2368161627139662,25,26,50,5.960464477539063e-08
group_wave+amp1,waveform_pca_48,r2_wave,-0.02284923979119563,0,26,50,2.9802322387695312e-08
group_wave+amp1,waveform_pca_48,r2_amp_spatial,0.3390650140959002,26,26,50,2.9802322387695312e-08
group_wave+amp1,waveform_pca_48,r2_env_gamma,0.3127622408536501,26,26,50,2.9802322387695312e-08
group_wave+amp1_pooled,waveform_pca_48,beh_r_mean,0.24042429089919518,25,26,50,5.960464477539063e-08
group_wave+amp1_pooled,waveform_pca_48,r2_wave,-0.022772198822053724,0,26,50,2.9802322387695312e-08
group_wave+amp1_pooled,waveform_pca_48,r2_amp_spatial,0.36095682672466406,26,26,50,2.9802322387695312e-08
group_wave+amp1_pooled,waveform_pca_48,r2_env_gamma,0.362637361759673,26,26,50,2.9802322387695312e-08
ae_depth_48,waveform_pca_48,beh_r_mean,0.21570900358697156,25,26,50,8.940696716308594e-08
ae_depth_48,waveform_pca_48,r2_wave,-0.12437821585496844,0,26,50,2.9802322387695312e-08
ae_depth_48,waveform_pca_48,r2_amp_spatial,0.28343133075459265,26,26,50,2.9802322387695312e-08
ae_depth_48,waveform_pca_48,r2_env_gamma,0.14158904799327304,26,26,50,2.9802322387695312e-08
ae_global_48,waveform_pca_48,beh_r_mean,0.255108714839563,26,26,50,2.9802322387695312e-08
ae_global_48,waveform_pca_48,r2_wave,-0.2867330207303517,0,26,50,2.9802322387695312e-08
ae_global_48,waveform_pca_48,r2_amp_spatial,0.3809082689433628,26,26,50,2.9802322387695312e-08
ae_global_48,waveform_pca_48,r2_env_gamma,0.24455539044848046,26,26,50,2.9802322387695312e-08
ae_masked_48,waveform_pca_48,beh_r_mean,0.2241574403463439,25,26,50,5.960464477539063e-08
ae_masked_48,waveform_pca_48,r2_wave,-0.1656967752672906,0,26,50,2.9802322387695312e-08
ae_masked_48,waveform_pca_48,r2_amp_spatial,0.3091760885360421,26,26,50,2.9802322387695312e-08
ae_masked_48,waveform_pca_48,r2_env_gamma,0.14643187632225033,26,26,50,2.9802322387695312e-08
ae_anatomy_48,waveform_pca_48,beh_r_mean,0.21688545190412398,25,26,50,8.940696716308594e-08
ae_anatomy_48,waveform_pca_48,r2_wave,-0.10050618253504706,0,26,50,2.9802322387695312e-08
ae_anatomy_48,waveform_pca_48,r2_amp_spatial,0.30017662863018735,26,26,50,2.9802322387695312e-08
ae_anatomy_48,waveform_pca_48,r2_env_gamma,0.16963748547444377,26,26,50,2.9802322387695312e-08
ae_filterbank_48,waveform_pca_48,beh_r_mean,0.1872663621109379,26,26,50,2.9802322387695312e-08
ae_filterbank_48,waveform_pca_48,r2_wave,-0.13065913574351212,0,26,50,2.9802322387695312e-08
ae_filterbank_48,waveform_pca_48,r2_amp_spatial,0.1706656876729476,26,26,50,2.9802322387695312e-08
ae_filterbank_48,waveform_pca_48,r2_env_gamma,0.05929577582987908,26,26,50,2.9802322387695312e-08
ae_waveamp_48,waveform_pca_48,beh_r_mean,0.191359379678102,24,26,50,1.4901161193847656e-07
ae_waveamp_48,waveform_pca_48,r2_wave,-0.022606540386918506,0,26,50,2.9802322387695312e-08
ae_waveamp_48,waveform_pca_48,r2_amp_spatial,0.15094139671213516,26,26,50,2.9802322387695312e-08
ae_waveamp_48,waveform_pca_48,r2_env_gamma,0.16386930488746787,26,26,50,2.9802322387695312e-08
bank_wave+rms+psd,waveform_pca_48,beh_r_mean,0.2637102084639533,26,26,50,2.9802322387695312e-08
bank_wave+rms+psd,waveform_pca_48,r2_wave,-0.055879605059095006,0,26,50,2.9802322387695312e-08
bank_wave+rms+psd,waveform_pca_48,r2_amp_spatial,1.0119405502723464,26,26,50,2.9802322387695312e-08
bank_wave+rms+psd,waveform_pca_48,r2_env_gamma,0.7062135339002896,26,26,50,2.9802322387695312e-08
waveform_pca_16,group_pca_weighted_48,beh_r_mean,-0.26469544014689256,1,26,50,5.960464477539063e-08
waveform_pca_16,group_pca_weighted_48,r2_wave,0.008950828783914844,24,26,50,5.662441253662109e-07
waveform_pca_16,group_pca_weighted_48,r2_amp_spatial,-0.35563087165716695,0,26,50,2.9802322387695312e-08
waveform_pca_16,group_pca_weighted_48,r2_env_gamma,-0.36268135202862567,0,26,50,2.9802322387695312e-08
waveform_pca_48,group_pca_weighted_48,beh_r_mean,-0.24025390826855889,1,26,50,5.960464477539063e-08
waveform_pca_48,group_pca_weighted_48,r2_wave,0.02276656173419561,26,26,50,2.9802322387695312e-08
waveform_pca_48,group_pca_weighted_48,r2_amp_spatial,-0.36111490526406603,0,26,50,2.9802322387695312e-08
waveform_pca_48,group_pca_weighted_48,r2_env_gamma,-0.362673799451543,0,26,50,2.9802322387695312e-08
group_pca_pooled_48,group_pca_weighted_48,beh_r_mean,-0.008284324773252472,9,26,50,0.24723756313323975
group_pca_pooled_48,group_pca_weighted_48,r2_wave,-0.8587839118690286,0,26,50,2.9802322387695312e-08
group_pca_pooled_48,group_pca_weighted_48,r2_amp_spatial,0.10417542661576856,26,26,50,2.9802322387695312e-08
group_pca_pooled_48,group_pca_weighted_48,r2_env_gamma,0.07579250086538669,26,26,50,2.9802322387695312e-08
group_wave+amp1,group_pca_weighted_48,beh_r_mean,-0.0014065535378714467,9,26,50,0.4082431197166443
group_wave+amp1,group_pca_weighted_48,r2_wave,-3.0269913508518265e-05,8,26,50,0.2269585132598877
