method,cc1,cc_top5,null_top5,n_shared_dims,hp1hz_top5,hp1hz_null_top5
ae_anatomy_48,0.8149543884832982,0.681176502954883,0.06348570927976496,10.0,0.5870534617218892,-0.0031480562370797003
ae_depth_48,0.8177657850181839,0.6511734903869248,0.06444332885769885,10.0,0.5715491597493587,0.0029354913808757504
ae_filterbank_48,0.8324037951551697,0.6822814106019071,0.06587836345427825,10.0,0.6411404926515192,0.0003091902566596
ae_global_48,0.9039422298687229,0.7416962044440044,0.0788525879606905,10.0,0.6329541831881291,-0.0124204828713764
ae_masked_48,0.7879707554174651,0.6805335744675751,0.06572773507388996,10.0,0.5807311831512203,0.00131616255346285
ae_waveamp_48,0.8013794042598568,0.6368465874984504,0.04076984840906995,10.0,0.5223406595888875,0.00475651369922615
bank_456,0.9069137097404055,0.6883041468322635,0.10546369287287094,10.0,0.5316376713495278,0.0006023770180075999
group_pca_2x24,0.8940155096270622,0.6020665975195123,0.0984538148328318,10.0,0.4339383918984714,-0.0043391985130713
group_pca_pooled_48,0.8916950913371975,0.6142724602166121,0.10256778408682315,9.5,0.4333924448057195,-0.0033396277181141
group_pca_weighted_48,0.8559090338377624,0.717225856159911,0.0979162576908239,10.0,0.605786522962481,0.00421230590858875
group_wave+amp1,0.8570163912559488,0.7234500661541334,0.0855546511390547,10.0,0.5934266837330314,0.00522461471251735
group_wave+amp1_pooled,0.8559310172179988,0.7168117951560009,0.0953078120055648,10.0,0.6023807813789943,0.0046205858084826
spatial_avg_24,0.815347807394425,0.6037776269199879,0.04919469816156645,10.0,0.5530602125618443,0.0023541036715581
waveform_pca_48,0.9258577745410861,0.8321151579285455,0.0603937743262513,10.0,0.7764942916273214,0.0047338287613509
waveform_pca_pooled_48,0.9583246833525834,0.7444085543061212,0.06147876713284245,10.0,0.6658721176553837,0.00536373264006435
