fold,filter,centre_hz,width_hz
0,0,1.5382256507873535,0.9727583527565002
0,1,3.912032127380371,1.2730133533477783
0,2,6.3048787117004395,2.6369025707244873
0,3,10.185210227966309,3.039414882659912
0,4,23.24191665649414,7.199085235595703
0,5,34.75518798828125,9.879256248474121
0,6,48.752716064453125,16.36147117614746
0,7,111.04369354248047,27.807022094726562
1,0,1.338876485824585,0.957516610622406
1,1,3.6860411167144775,1.0004116296768188
1,2,4.862156867980957,1.9145835638046265
1,3,8.852883338928223,2.9169797897338867
1,4,19.95911979675293,6.863016128540039
1,5,34.35675048828125,10.07335090637207
1,6,51.86878204345703,19.816606521606445
1,7,102.4078598022461,26.92799949645996
2,0,1.5106819868087769,1.0995278358459473
2,1,2.882185697555542,1.3755921125411987
2,2,5.984467506408691,1.932692050933838
2,3,9.766317367553711,2.977165699005127
2,4,19.140295028686523,6.002926349639893
2,5,31.635711669921875,9.452750205993652
2,6,63.40174102783203,16.134000778198242
2,7,76.87881469726562,30.450456619262695
3,0,1.4814467430114746,0.9707643389701843
3,1,3.457066297531128,1.3264987468719482
3,2,5.71091365814209,2.4127025604248047
3,3,9.451093673706055,2.8849968910217285
3,4,22.57741928100586,7.0770039558410645
3,5,36.17346954345703,10.353590965270996
3,6,47.29631805419922,20.163990020751953
3,7,104.69332122802734,25.162796020507812
4,0,1.4482684135437012,1.047278642654419
4,1,3.8700993061065674,1.1802749633789062
4,2,4.465783596038818,2.482222080230713
4,3,9.912605285644531,2.9892630577087402
4,4,21.390457153320312,6.857256889343262
4,5,34.40709686279297,9.109808921813965
4,6,45.54692077636719,19.229768753051758
4,7,106.95646667480469,28.150623321533203
