method,transfer_full_r,transfer_pooled_r,transfer_ratio,transfer_full_r_mixed_encoders,cca_top5,cca_null_top5,cca_shared_dims,states_nmi_within,states_eta2,states_dwell_s,states_nmi_pooled,states_nmi_pooled_mixed_encoders,acf_1e_s
ae_anatomy_48,0.4245,0.3414,0.764,0.0532,0.6812,0.0635,10.0,0.2856,0.2521,0.6803,0.0576,0.0309,0.08
ae_depth_48,,,,0.1654,0.6512,0.0644,10.0,0.2938,0.254,0.6494,,0.0363,0.08
ae_filterbank_48,0.3151,0.3213,0.578,-0.0231,0.6823,0.0659,10.0,0.2135,0.2055,0.5666,0.0469,0.0343,0.12
ae_global_48,,,,0.2257,0.7417,0.0789,10.0,0.3133,0.2632,0.957,,0.0159,0.28
ae_masked_48,0.4355,0.3614,0.767,-0.0429,0.6805,0.0657,10.0,0.3151,0.2375,0.7949,0.0674,0.0284,0.08
ae_waveamp_48,0.3858,0.335,0.712,0.0809,0.6368,0.0408,10.0,0.2383,0.1846,0.4239,0.0564,0.0459,0.08
akella_ref,,,,,,,,0.4771,0.2289,0.9852,1.0,1.0,
bank_456,,,,,0.6883,0.1055,10.0,0.3108,0.2642,1.3246,0.1354,0.1354,0.36
group_pca_2x24,0.2711,0.1138,0.467,0.2711,0.6021,0.0985,10.0,0.2677,0.2323,1.2904,0.0325,0.0325,0.44
group_pca_pooled_48,0.5078,0.3317,0.876,0.506,0.6143,0.1026,9.5,0.2808,0.2315,1.2739,0.1134,0.1043,0.44
group_pca_weighted_48,0.4355,0.3024,0.747,0.4359,0.7172,0.0979,10.0,0.3011,0.2463,0.8403,0.0727,0.0708,0.2
group_wave+amp1,0.2982,0.1755,0.509,0.2982,0.7235,0.0856,10.0,0.2978,0.2469,0.8626,0.0436,0.0436,0.22
group_wave+amp1_pooled,0.4346,0.2988,0.745,0.4392,0.7168,0.0953,10.0,0.3116,0.2517,0.8696,0.0711,0.0709,0.2
spatial_avg_24,0.0332,0.0603,,0.0332,0.6038,0.0492,10.0,0.157,0.2254,0.4752,0.0215,0.0215,0.08
waveform_pca_48,-0.0031,,-0.009,-0.0031,0.8321,0.0604,10.0,0.16,0.1932,0.9616,0.0267,0.0267,0.12
waveform_pca_pooled_48,-0.0103,,,-0.0103,0.7444,0.0615,10.0,0.1802,0.2303,0.5782,0.0158,0.0158,0.08
