method,nmi_akella_ref,eta2,dwell_s
ae_anatomy_48,0.0309144538424257,0.02987904314764935,0.8265027322404371
ae_depth_48,0.03631110465816445,0.0363986522348988,0.7409033532736952
ae_filterbank_48,0.0342973891043795,0.053329360144292196,0.486620885626332
ae_global_48,0.01590937904246975,0.017707288648028903,0.8585114222549741
ae_masked_48,0.02837719692655705,0.043174301239410906,0.5540548836638222
ae_waveamp_48,0.04593598565602115,0.08856285040196105,0.40817006530721045
akella_ref,1.0,0.09250740106082905,0.8889064475347661
bank_456,0.13544038833365368,0.1743355271494354,1.0526315789473684
group_pca_2x24,0.0325086062584668,0.02882044861696475,0.8852330591461026
group_pca_pooled_48,0.1042520166889562,0.13872415797220672,1.1235955056179774
group_pca_weighted_48,0.0707915269019931,0.1059408136674124,0.7299658994032396
group_wave+amp1,0.0435999833189812,0.042912969834055806,0.6116265150381566
group_wave+amp1_pooled,0.07088752772062865,0.10779044530810744,0.7143221592938416
spatial_avg_24,0.02150425393307425,0.04037625253281445,0.3717523493642897
waveform_pca_48,0.02671080472033415,0.06792975689761604,0.6779738922596066
waveform_pca_pooled_48,0.0158364883757734,0.0313225800220302,0.44269456034161914
