method,eta2,dwell_s,nmi_akella_ref,ari_akella_ref,nmi_bank_456,ari_bank_456
ae_anatomy_48,0.25209813495921624,0.6802721088435374,0.28564356939747304,0.2722614921208074,0.31430024479752705,0.31022151435009515
ae_depth_48,0.25401069374866586,0.6493780307822052,0.2938389848912313,0.2668106471804209,0.3162865779272752,0.3134537604571822
ae_filterbank_48,0.20547401270758586,0.5666131621187801,0.213536145577723,0.24775561864902604,0.2830756360613707,0.2463102494569639
ae_global_48,0.26324641229813833,0.956959706959707,0.313346076676133,0.3065067010668442,0.3547202836809814,0.3872590874071201
ae_masked_48,0.2375390301681291,0.7949025298088449,0.31512646106124087,0.2799210605156721,0.3134958378701394,0.3043923106165264
ae_waveamp_48,0.18460894245362558,0.4239190961182663,0.23834839442181982,0.21132922177387048,0.25129723424749717,0.24009826410266333
akella_ref,0.22894694020061374,0.9852455833818676,0.47712737263060134,0.4680423183411744,0.2929190310516713,0.2984091977439623
bank_456,0.2642467775077459,1.324561403508772,0.3107863301940532,0.31725969350657685,1.0,1.0
group_pca_2x24,0.23230325663863938,1.2903762903762903,0.2677051711170057,0.26302991923848285,0.4021108797142028,0.4140723387388763
group_pca_pooled_48,0.2314517793333158,1.2739370334307045,0.28083357514424095,0.257222105164461,0.4190221332389643,0.4302827054514548
group_pca_weighted_48,0.24630216330629054,0.8403361344537815,0.30111277578381485,0.28805396992642524,0.35875890113101117,0.35639716215567546
group_wave+amp1,0.24689532611168646,0.8626459433330855,0.2978364101628188,0.2933166928019762,0.3626601501255109,0.34306110742196294
group_wave+amp1_pooled,0.2516780333333236,0.8695652173913043,0.3115674256164511,0.30422046667039493,0.3472041048893588,0.34209961863730576
spatial_avg_24,0.2254188222483932,0.47519075353289086,0.15700347899547054,0.16913757728098722,0.2111903013109035,0.1977344990883797
waveform_pca_48,0.19317725257605975,0.9616273693943598,0.16004186367120435,0.18165410055377024,0.17298346628142355,0.15981703699752803
waveform_pca_pooled_48,0.23029977700938742,0.5782085561497327,0.18024664933666334,0.19220052066986304,0.22923003136206585,0.19912899394330896
