model,fold,best_epoch,last_epoch,best_in_last_5
ae_anatomy_48,0,48,49,True
ae_anatomy_48,1,44,49,False
ae_anatomy_48,2,48,49,True
ae_anatomy_48,3,49,49,True
ae_anatomy_48,4,49,49,True
ae_depth_48,0,47,49,True
ae_depth_48,1,49,49,True
ae_depth_48,2,49,49,True
ae_depth_48,3,48,49,True
ae_depth_48,4,49,49,True
ae_filterbank_48,0,18,24,False
ae_filterbank_48,1,23,29,False
ae_filterbank_48,2,13,19,False
ae_filterbank_48,3,19,25,False
ae_filterbank_48,4,19,25,False
ae_global_48,0,47,49,True
ae_global_48,1,49,49,True
ae_global_48,2,45,49,True
ae_global_48,3,48,49,True
ae_global_48,4,44,49,False
ae_masked_48,0,49,49,True
ae_masked_48,1,48,49,True
ae_masked_48,2,49,49,True
ae_masked_48,3,48,49,True
ae_masked_48,4,49,49,True
ae_waveamp_48,0,48,49,True
ae_waveamp_48,1,49,49,True
ae_waveamp_48,2,49,49,True
ae_waveamp_48,3,48,49,True
ae_waveamp_48,4,49,49,True
