method,full,pooled
ae_anatomy_48,0.053237730715179635,0.06895960550750961
ae_depth_48,0.16544547021509903,0.01523466604123926
ae_filterbank_48,-0.023052096587072524,0.07440523593207479
ae_global_48,0.22569392376428377,
ae_masked_48,-0.04285215188796973,0.03957360960412838
ae_waveamp_48,0.08089343652694356,0.09660443576242618
group_pca_2x24,0.2711045464259258,0.11377334174989749
group_pca_pooled_48,0.5060374504403575,0.32767567931554153
group_pca_weighted_48,0.43591408765519046,0.30141031543488633
group_wave+amp1,0.29820744654733145,0.17547733819706685
group_wave+amp1_pooled,0.43922246210686156,0.2984976321016602
spatial_avg_24,0.03317573304183599,0.0603466492214353
waveform_pca_48,-0.00312155815445683,
waveform_pca_pooled_48,-0.010304987984064418,
